STATION_NUMBER,STATION_NAME,PROV_TERR_STATE_LOC,REGIONAL_OFFICE_ID,HYD_STATUS,SED_STATUS,LATITUDE,LONGITUDE,DRAINAGE_AREA_GROSS,DRAINAGE_AREA_EFFECT,RHBN,REAL_TIME,CONTRIBUTOR_ID,OPERATOR_ID,DATUM_ID
07EA001,FINLAY RIVER AT WARE,BC,2,DISCONTINUED,NA,57.42082977294922,-125.62638854980467,11100,NA,FALSE,FALSE,NA,NA,10
07EA002,KWADACHA RIVER NEAR WARE,BC,2,DISCONTINUED,NA,57.45000076293945,-125.6374969482422,2410,NA,FALSE,FALSE,647,647,10
07EA004,INGENIKA RIVER ABOVE SWANNELL RIVER,BC,2,ACTIVE,NA,56.73060989379883,-125.1050033569336,4140,NA,FALSE,TRUE,75,647,10
07EA005,FINLAY RIVER ABOVE AKIE RIVER,BC,2,ACTIVE,NA,57.126220703125,-125.24992370605467,15600,NA,FALSE,TRUE,75,647,10
07EA006,WILLISTON LAKE AT INGENIKA POINT,BC,2,DISCONTINUED,NA,56.78860855102539,-124.8741683959961,NA,NA,FALSE,FALSE,NA,NA,10
07EA007,AKIE RIVER NEAR THE 760 M CONTOUR,BC,2,ACTIVE,NA,57.19110870361328,-124.90110778808594,1690,NA,FALSE,TRUE,647,647,10
07EB001,FINLAY RIVER AT FINLAY FORKS,BC,2,DISCONTINUED,NA,56.03194046020508,-123.9055633544922,43300,NA,FALSE,FALSE,NA,NA,10
07EB002,OSPIKA RIVER ABOVE ALEY CREEK,BC,2,ACTIVE,NA,56.52410888671875,-123.93602752685548,2190,NA,FALSE,TRUE,75,647,10
07EC001,OMINECA RIVER NEAR GERMANSEN LANDING,BC,2,DISCONTINUED,NA,55.78889083862305,-124.68055725097656,5080,NA,FALSE,FALSE,NA,NA,10
07EC002,OMINECA RIVER ABOVE OSILINKA RIVER,BC,2,ACTIVE,NA,55.9168586730957,-124.5675811767578,5560,NA,TRUE,TRUE,75,647,10
07EC003,MESILINKA RIVER ABOVE GOPHERHOLE CREEK,BC,2,ACTIVE,NA,56.244998931884766,-124.64466857910156,3060,NA,FALSE,TRUE,75,647,10
07EC004,OSILINKA RIVER NEAR END LAKE,BC,2,ACTIVE,NA,56.1269416809082,-124.80191802978516,1950,NA,FALSE,TRUE,647,647,10
07ED001,NATION RIVER NEAR FORT ST. JAMES,BC,2,DISCONTINUED,NA,55.20000076293945,-124.23332977294922,4350,NA,FALSE,FALSE,NA,647,10
07ED002,WILLISTON LAKE AT NATION ARM,BC,2,DISCONTINUED,NA,55.50389099121094,-123.4197235107422,NA,NA,FALSE,FALSE,NA,647,10
07ED003,NATION RIVER NEAR THE MOUTH,BC,2,ACTIVE,NA,55.42721939086914,-123.63336181640624,6790,NA,FALSE,TRUE,75,647,10
07EE002,PARSNIP RIVER NEAR FINLAY FORKS,BC,2,DISCONTINUED,NA,55.8477783203125,-123.7619400024414,20300,NA,FALSE,FALSE,NA,NA,10
07EE003,PARSNIP RIVER AT PACIFIC GREAT EASTERN RAILWAY BRIDGE,BC,2,DISCONTINUED,NA,54.85832977294922,-122.6152801513672,4010,NA,FALSE,FALSE,NA,NA,10
07EE004,CHICHOUYENILY CREEK NEAR MACKENZIE,BC,2,DISCONTINUED,NA,55.31943893432617,-123.09722137451172,72.30000305175781,NA,FALSE,FALSE,NA,NA,10
07EE005,MORFEE CREEK AT OUTLET OF MORFEE LAKE,BC,2,DISCONTINUED,NA,55.36111068725586,-123.09722137451172,23.299999237060547,NA,FALSE,FALSE,NA,NA,10
07EE007,PARSNIP RIVER ABOVE MISINCHINKA RIVER,BC,2,ACTIVE,NA,55.081939697265625,-122.9130630493164,4930,NA,FALSE,TRUE,647,647,10
07EE008,WILLISTON LAKE NEAR MACKENZIE,BC,2,DISCONTINUED,NA,55.33943939208984,-123.18805694580078,NA,NA,FALSE,FALSE,NA,NA,35
07EE009,CHUCHINKA CREEK NEAR THE MOUTH,BC,2,ACTIVE,NA,54.52972030639648,-122.61222076416016,310,NA,TRUE,TRUE,647,647,10
07EE010,PACK RIVER AT OUTLET OF MCLEOD LAKE,BC,2,ACTIVE,NA,54.99850082397461,-123.03656005859376,3710,NA,FALSE,TRUE,75,647,10
07EE011,MCLEOD RIVER AT OUTLET OF CARP LAKE,BC,2,DISCONTINUED,NA,54.81111145019531,-123.32083129882812,487,NA,FALSE,FALSE,NA,NA,10
07EF001,PEACE RIVER AT HUDSON HOPE,BC,2,DISCONTINUED,NA,56.027000427246094,-121.9086685180664,73100,NA,FALSE,FALSE,75,647,10
07EF002,WILLISTON LAKE AT LOST CABIN CREEK,BC,2,ACTIVE,NA,56.04996871948242,-123.7481918334961,NA,NA,FALSE,TRUE,75,647,10
07EF003,WILLISTON LAKE NEAR SCHOOLER CREEK,BC,2,ACTIVE,NA,56.10639190673828,-122.7161102294922,NA,NA,FALSE,TRUE,75,647,10
07EF004,CARBON CREEK NEAR THE MOUTH,BC,2,ACTIVE,NA,55.94610977172852,-122.6588897705078,741,NA,FALSE,TRUE,75,647,10
07FA001,HALFWAY RIVER NEAR FARRELL CREEK (LOWER STATION),BC,2,DISCONTINUED,DISCONTINUED,56.22777938842773,-121.48056030273438,9400,NA,FALSE,FALSE,NA,NA,10
07FA003,HALFWAY RIVER ABOVE GRAHAM RIVER,BC,2,ACTIVE,NA,56.50894165039063,-122.24321746826172,3780,NA,FALSE,TRUE,75,647,10
07FA004,PEACE RIVER ABOVE PINE RIVER,BC,2,ACTIVE,NA,56.1993293762207,-120.8144989013672,87200,NA,FALSE,TRUE,75,647,10
07FA005,GRAHAM RIVER ABOVE COLT CREEK,BC,2,ACTIVE,NA,56.45986175537109,-122.35453033447266,2140,NA,FALSE,TRUE,55,647,10
07FA006,HALFWAY RIVER NEAR FARRELL CREEK,BC,2,ACTIVE,NA,56.25075149536133,-121.62853240966795,9340,NA,FALSE,TRUE,75,647,10
07FA007,CYPRESS CREEK NEAR THE MOUTH,BC,2,DISCONTINUED,NA,56.82332992553711,-122.62471771240234,NA,NA,FALSE,FALSE,278,647,10
07FB001,PINE RIVER AT EAST PINE,BC,2,ACTIVE,NA,55.71844100952149,-121.21156311035156,12100,NA,TRUE,TRUE,75,647,10
07FB002,MURRAY RIVER NEAR THE MOUTH,BC,2,ACTIVE,DISCONTINUED,55.55247116088867,-121.20349884033205,5550,NA,FALSE,TRUE,647,647,10
07FB003,SUKUNKA RIVER NEAR THE MOUTH,BC,2,ACTIVE,DISCONTINUED,55.54217147827149,-121.6275634765625,2590,NA,FALSE,TRUE,647,647,10
07FB004,DICKEBUSCH CREEK NEAR THE MOUTH,BC,2,ACTIVE,DISCONTINUED,55.53778076171875,-121.59680938720705,82.4000015258789,NA,FALSE,TRUE,647,647,10
07FB005,QUALITY CREEK NEAR THE MOUTH,BC,2,DISCONTINUED,DISCONTINUED,55.14582824707031,-120.92333221435548,29.5,NA,FALSE,FALSE,55,647,10
07FB006,MURRAY RIVER ABOVE WOLVERINE RIVER,BC,2,ACTIVE,DISCONTINUED,55.06135940551758,-121.01377868652344,2370,NA,FALSE,TRUE,647,647,10
07FB007,SUKUNKA RIVER ABOVE CHAMBERLAIN CREEK,BC,2,DISCONTINUED,DISCONTINUED,55.18777847290039,-121.7611083984375,927,NA,FALSE,FALSE,NA,NA,10
07FB008,MOBERLY RIVER NEAR FORT ST. JOHN,BC,2,ACTIVE,NA,56.09249877929688,-121.36678314208984,1520,NA,FALSE,TRUE,75,647,10
07FB009,FLATBED CREEK AT KILOMETRE 110 HERITAGE HIGHWAY,BC,2,ACTIVE,NA,55.09017181396485,-120.94183349609376,486,NA,FALSE,TRUE,647,647,10
07FB010,PINE RIVER ABOVE MOUNTAIN CREEK,BC,2,DISCONTINUED,NA,55.508331298828125,-122.57472229003906,677,NA,FALSE,FALSE,NA,NA,10
07FB011,WINDREM CREEK NEAR CHETWYND,BC,2,DISCONTINUED,NA,55.695831298828125,-121.62999725341795,22.899999618530277,NA,FALSE,FALSE,900,647,10
07FC001,BEATTON RIVER NEAR FORT ST. JOHN,BC,2,ACTIVE,DISCONTINUED,56.278438568115234,-120.69985961914062,15600,NA,FALSE,TRUE,647,647,10
07FC002,ST. JOHN CREEK NEAR MONTNEY,BC,2,DISCONTINUED,NA,56.42417144775391,-120.9250030517578,201,NA,FALSE,FALSE,NA,NA,10
07FC003,BLUEBERRY RIVER BELOW AITKEN CREEK,BC,2,ACTIVE,NA,56.67763900756836,-121.22232818603516,1770,NA,TRUE,TRUE,647,647,10
07FC004,STODDART CREEK AT OUTLET OF CHARLIE LAKE,BC,2,DISCONTINUED,NA,56.27444076538086,-120.94750213623048,298,NA,FALSE,FALSE,NA,647,10
07FC005,CHARLIE LAKE NEAR FORT ST. JOHN,BC,2,DISCONTINUED,NA,56.28055953979492,-120.95693969726562,NA,NA,FALSE,FALSE,55,55,10
07FC006,OSBORNE CREEK NEAR THE MOUTH,BC,2,DISCONTINUED,NA,56.600830078125,-120.37972259521484,120,NA,FALSE,FALSE,NA,NA,10
07FC007,NIG CREEK NEAR NIG STATION,BC,2,DISCONTINUED,NA,57.133888244628906,-121.5133285522461,212,NA,FALSE,FALSE,NA,NA,10
07FD001,KISKATINAW RIVER NEAR FARMINGTON,BC,2,ACTIVE,NA,55.95735931396485,-120.56436157226562,3630,NA,FALSE,TRUE,55,647,10
07FD002,PEACE RIVER NEAR TAYLOR,BC,2,ACTIVE,NA,56.13938903808594,-120.67241668701172,101000,NA,FALSE,TRUE,647,647,10
07FD004,ALCES RIVER AT 22ND BASE LINE,BC,2,DISCONTINUED,NA,56.33422088623047,-120.15514373779295,295,NA,FALSE,FALSE,55,647,10
07FD005,ALCES RIVER AT SECTION 20,BC,2,DISCONTINUED,NA,56.38555908203125,-120.1758270263672,229,NA,FALSE,FALSE,NA,NA,NA
07FD007,POUCE COUPE RIVER BELOW HENDERSON CREEK,BC,2,ACTIVE,NA,55.86518859863281,-120.0304183959961,2860,NA,FALSE,TRUE,647,647,10
07FD010,PEACE RIVER ABOVE ALCES RIVER,BC,2,ACTIVE,NA,56.12691879272461,-120.0574722290039,121000,NA,FALSE,TRUE,75,647,10
07FD015,DAWSON CREEK ABOVE SOUTH DAWSON CREEK,BC,2,DISCONTINUED,NA,55.761940002441406,-120.25,116,NA,FALSE,FALSE,NA,647,10
07FD016,SOUTH DAWSON CREEK AT THE MOUTH,BC,2,DISCONTINUED,NA,55.75638961791992,-120.25,85.19999694824219,NA,FALSE,FALSE,NA,NA,10
07FD017,SWAN LAKE AT THE OUTLET,BC,2,DISCONTINUED,NA,55.52693939208984,-120.02693939208984,NA,NA,FALSE,FALSE,55,55,10
07GC001,WAPITI RIVER ABOVE MISTANUSK CREEK,BC,2,DISCONTINUED,NA,54.6986083984375,-120.0583267211914,2400,NA,FALSE,FALSE,NA,NA,10
08BB001,TAKU RIVER NEAR TULSEQUAH,BC,2,DISCONTINUED,DISCONTINUED,58.63888931274414,-133.540283203125,15500,NA,FALSE,FALSE,NA,NA,10
