Year,ID1,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at
1930,08NF001, 08NF001,50.887032,-116.046097,2000,-6.9,7.1,19.8,6.3,-16.6,-3.8,4.3,-4,-11.8,1.7,12,1.1,486,445,299,252,1100,185,0,227,0,101,655,123,2687,1508,547,1537,0,0,8,1,1,25,82,23,461,170,7,119,0,126,332,57,0,0,92,0,58,61,53,63
1931,08NF001, 08NF001,50.887032,-116.046097,2000,-1.7,7.5,19.6,5.6,-11.1,-3.9,3.9,-5.1,-6.4,1.8,11.7,0.3,113,202,385,284,624,176,0,269,0,100,624,96,2186,1494,579,1614,1,1,7,2,2,21,80,21,94,89,9,138,0,137,330,78,0,0,100,0,61,60,53,62
1932,08NF001, 08NF001,50.887032,-116.046097,2000,-6,6.1,18.9,6.7,-16,-4.4,4.3,-4.1,-11,0.8,11.6,1.3,356,286,376,411,997,234,0,206,0,89,608,110,2605,1582,592,1521,0,0,6,1,0,21,83,20,346,143,8,235,0,127,317,82,0,0,51,1,57,62,55,62
1933,08NF001, 08NF001,50.887032,-116.046097,2000,-6.8,5.9,20.3,7.2,-16.3,-5.2,3.7,-2.4,-11.5,0.4,12,2.4,297,265,338,355,1042,223,0,111,0,61,649,94,2647,1621,553,1422,0,0,8,1,0,15,79,27,287,173,7,116,0,77,343,73,0,0,80,0,59,60,50,66
1934,08NF001, 08NF001,50.887032,-116.046097,2000,-2.9,10.2,19.7,7,-13.4,-2.5,3.4,-3.1,-8.2,3.9,11.6,1.9,459,238,211,321,775,116,0,143,0,170,611,84,2353,1305,592,1463,0,1,5,2,1,30,77,23,432,79,5,104,0,158,334,76,0,14,124,0,57,57,51,64
1935,08NF001, 08NF001,50.887032,-116.046097,2000,-4.7,4.3,17.8,6.9,-14.5,-6.9,3.6,-5.3,-9.6,-1.3,10.7,0.8,438,211,447,249,895,329,1,265,0,47,525,137,2486,1773,675,1568,0,0,3,2,1,9,78,20,424,135,15,140,0,81,304,88,0,0,5,21,58,59,56,57
1936,08NF001, 08NF001,50.887032,-116.046097,2000,-7.4,7.5,21.5,8.4,-17.6,-4,4.4,-4.1,-12.5,1.7,12.9,2.1,264,238,282,159,1121,228,0,176,0,151,732,118,2714,1500,473,1446,0,0,13,0,1,25,83,21,253,120,4,38,0,147,360,88,0,2,115,0,56,60,49,57
1937,08NF001, 08NF001,50.887032,-116.046097,2000,-9.4,7.7,18.5,7.7,-20.2,-4.2,3.9,-3.2,-14.8,1.7,11.2,2.3,352,228,418,443,1340,175,0,204,0,120,572,165,2944,1498,623,1433,0,2,5,2,0,20,79,29,347,73,10,196,0,136,315,89,0,0,0,0,53,58,55,62
1938,08NF001, 08NF001,50.887032,-116.046097,2000,-5.2,6.5,19.9,9,-15.9,-4.2,4.1,-3.7,-10.6,1.2,12,2.6,409,224,358,277,951,185,0,230,0,72,647,230,2559,1553,554,1397,0,0,8,6,0,18,80,30,393,112,7,109,0,127,337,102,0,0,21,3,55,62,52,57
1939,08NF001, 08NF001,50.887032,-116.046097,2000,-5.3,8.5,19,7.8,-15.3,-4.4,3.3,-2.1,-10.3,2,11.2,2.8,312,204,380,524,927,185,1,113,0,116,585,121,2533,1471,624,1386,1,1,7,3,1,21,76,29,293,74,30,177,0,146,323,77,0,25,160,0,57,55,53,65
1940,08NF001, 08NF001,50.887032,-116.046097,2000,-3.6,8.2,20.9,7.3,-13,-2.4,4,-3.4,-8.3,2.9,12.4,2,248,234,177,410,781,122,0,271,0,129,691,215,2359,1393,510,1458,0,0,10,4,2,27,80,36,218,97,2,138,0,137,350,91,0,0,172,0,60,63,50,62
1941,08NF001, 08NF001,50.887032,-116.046097,2000,-2.4,9.5,19.9,6.1,-12.3,-3.2,5.1,-3.6,-7.3,3.1,12.5,1.2,193,279,446,331,697,104,0,166,0,109,690,68,2274,1372,514,1527,0,0,11,1,1,25,85,22,173,79,9,119,0,140,331,69,0,50,87,0,59,56,55,65
1942,08NF001, 08NF001,50.887032,-116.046097,2000,-5.1,6.5,18.2,6.8,-15.2,-4.3,4.4,-4.6,-10.2,1.1,11.3,1.1,232,376,535,437,922,186,1,248,0,67,589,135,2524,1556,617,1534,0,0,6,3,1,19,82,24,221,149,18,197,0,122,306,87,0,0,0,0,58,61,57,60
1943,08NF001, 08NF001,50.887032,-116.046097,2000,-5.9,5.5,17.9,9,-16.1,-5.8,2.9,-3.3,-11,-0.1,10.4,2.9,325,270,388,254,1022,288,2,146,0,74,515,154,2611,1675,700,1378,0,0,4,2,1,17,71,23,311,167,24,68,0,128,309,94,0,0,0,31,57,59,54,58
1944,08NF001, 08NF001,50.887032,-116.046097,2000,-4,7,18.2,9,-14.2,-5.2,3.6,-3.1,-9.1,0.9,10.9,3,158,333,449,181,826,250,0,174,0,100,543,169,2428,1576,657,1368,0,0,4,3,1,20,78,29,149,136,13,51,0,139,311,93,0,0,0,5,57,56,55,58
1945,08NF001, 08NF001,50.887032,-116.046097,2000,-4,5.1,19.3,5.7,-14.4,-5.6,3.8,-5.2,-9.2,-0.3,11.5,0.3,265,339,373,496,839,273,1,267,0,60,610,92,2444,1681,593,1614,0,0,7,2,1,14,79,20,253,225,13,206,0,82,326,79,0,0,53,0,57,61,53,61
1946,08NF001, 08NF001,50.887032,-116.046097,2000,-4,8.2,19.1,5.1,-13.3,-3.4,3.2,-6.1,-8.6,2.4,11.2,-0.5,284,364,435,604,793,134,1,329,0,97,572,105,2393,1438,631,1681,0,1,4,3,1,19,76,20,267,158,14,354,0,142,327,79,0,0,48,0,60,60,52,59
1947,08NF001, 08NF001,50.887032,-116.046097,2000,-4.6,7.8,18.1,6.3,-14.7,-4.2,3.8,-4,-9.7,1.8,11,1.1,424,250,483,430,881,178,1,240,0,103,554,124,2484,1491,648,1537,0,0,5,2,1,22,79,26,409,103,21,166,0,135,310,81,0,0,51,0,57,58,56,63
1948,08NF001, 08NF001,50.887032,-116.046097,2000,-4.3,4.9,18.3,7.6,-14.7,-6.1,4.1,-4.6,-9.5,-0.6,11.2,1.5,450,401,498,218,865,329,0,217,0,86,569,127,2462,1714,629,1502,0,0,5,1,1,21,81,21,427,219,12,100,0,79,310,88,0,0,0,0,56,59,56,57
1949,08NF001, 08NF001,50.887032,-116.046097,2000,-9.5,8.3,18.5,8.2,-21.7,-4,3.2,-3,-15.6,2.1,10.9,2.6,344,268,352,396,1413,191,1,127,0,133,546,128,3019,1463,657,1408,0,0,4,1,0,24,75,23,343,80,12,156,0,146,317,74,0,5,22,0,48,57,53,61
1950,08NF001, 08NF001,50.887032,-116.046097,2000,-10.7,4.5,18.8,6.3,-20.9,-6.6,3.1,-4.8,-15.8,-1.1,10.9,0.7,537,201,367,487,1458,302,1,261,0,65,549,132,3054,1756,651,1575,0,4,3,2,0,9,74,21,532,159,11,303,0,77,322,84,0,26,0,13,55,59,52,61
1951,08NF001, 08NF001,50.887032,-116.046097,2000,-5.5,5.2,17.5,5.4,-15.7,-6.7,3.3,-4.9,-10.6,-0.8,10.4,0.2,538,393,460,436,971,328,1,259,0,79,511,88,2562,1728,696,1619,0,0,4,0,1,16,74,18,512,154,25,227,0,130,301,55,0,0,16,0,57,56,56,63
1952,08NF001, 08NF001,50.887032,-116.046097,2000,-7.4,7.3,18.2,9.2,-17.1,-5.3,3.8,-3.6,-12.2,1,11,2.8,368,296,595,121,1126,236,1,200,0,94,560,185,2724,1570,643,1384,0,0,4,2,0,18,79,28,363,112,22,21,0,139,309,96,0,0,0,18,58,55,56,56
1953,08NF001, 08NF001,50.887032,-116.046097,2000,-2.7,5.7,17.8,8.7,-11.8,-4.7,4.2,-2,-7.2,0.5,11,3.4,460,348,431,320,692,214,1,115,0,60,560,143,2266,1611,645,1333,2,1,4,4,1,17,82,31,402,215,16,97,0,77,299,86,0,0,18,0,62,62,58,63
1954,08NF001, 08NF001,50.887032,-116.046097,2000,-4.5,3.7,16.8,7.7,-12.6,-6.9,3.7,-2.5,-8.5,-1.6,10.2,2.6,621,355,562,234,826,376,1,113,0,61,488,110,2391,1802,716,1406,0,0,3,1,2,14,78,27,550,243,27,73,0,80,288,76,0,0,27,0,65,60,59,64
1955,08NF001, 08NF001,50.887032,-116.046097,2000,-4.8,2.7,19.5,4.9,-14.6,-6.8,4.1,-5.9,-9.7,-2.1,11.8,-0.5,267,377,301,437,886,384,0,373,0,42,634,123,2479,1850,568,1679,0,0,7,1,1,15,80,25,253,250,6,224,0,66,327,82,0,0,51,0,59,64,53,61
1956,08NF001, 08NF001,50.887032,-116.046097,2000,-6.9,7.1,18.9,7.2,-17.2,-4.6,4.9,-3.6,-12,1.2,11.9,1.8,544,249,363,297,1086,217,0,200,0,104,644,134,2691,1545,555,1478,0,0,8,3,0,20,85,25,535,171,7,120,0,137,315,83,0,46,45,0,56,58,57,62
1957,08NF001, 08NF001,50.887032,-116.046097,2000,-7.5,7.5,17.5,7,-17.8,-4.2,3.8,-4.2,-12.7,1.6,10.7,1.4,524,203,484,320,1152,198,0,224,0,127,521,140,2755,1507,677,1513,0,1,3,2,0,22,79,22,508,83,15,189,0,139,298,63,0,0,15,11,56,58,57,60
1958,08NF001, 08NF001,50.887032,-116.046097,2000,-2.3,7.4,20.2,6.2,-10.7,-4.2,5.7,-4,-6.5,1.6,13,1.1,311,235,474,444,637,235,0,237,0,153,736,118,2202,1513,463,1536,1,1,13,3,2,25,87,26,269,147,6,219,0,141,331,80,0,45,44,0,65,59,56,63
1959,08NF001, 08NF001,50.887032,-116.046097,2000,-5,5.7,17.7,4.1,-14.8,-4.3,4,-4.7,-9.9,0.7,10.8,-0.3,289,422,503,495,904,183,1,283,0,48,537,80,2498,1597,660,1663,0,0,3,1,1,15,80,24,273,237,19,243,0,115,302,67,0,0,42,0,59,63,58,67
1960,08NF001, 08NF001,50.887032,-116.046097,2000,-5.4,6.2,19.4,7.3,-15,-4.5,5,-3.5,-10.2,0.9,12.2,1.9,251,273,226,348,938,199,0,213,0,68,668,144,2535,1581,543,1465,0,0,12,2,1,21,84,28,238,135,6,142,0,115,324,86,0,0,114,0,59,61,56,62
1961,08NF001, 08NF001,50.887032,-116.046097,2000,-3.5,6.2,21.4,4.2,-11.8,-3.6,5.9,-5.8,-7.6,1.3,13.7,-0.8,377,275,341,379,721,184,0,294,0,88,797,63,2309,1534,404,1710,0,0,17,0,2,23,88,18,337,115,3,197,0,118,351,68,0,0,44,0,65,64,53,63
1962,08NF001, 08NF001,50.887032,-116.046097,2000,-6.2,5.8,17.7,8.7,-15.9,-4.8,3.6,-2.3,-11,0.5,10.7,3.2,366,278,325,248,1006,241,1,116,0,69,521,140,2609,1614,677,1351,0,0,4,3,0,20,79,28,358,134,10,79,0,121,304,87,0,0,34,0,58,61,56,63
1963,08NF001, 08NF001,50.887032,-116.046097,2000,-3.6,7.1,18,8.8,-12.8,-3.5,4.2,-1.7,-8.2,1.8,11.1,3.5,297,223,541,259,804,148,1,177,1,84,567,230,2365,1493,635,1316,0,0,4,4,2,20,82,38,252,113,16,103,0,127,303,92,0,1,8,0,61,62,57,64
1964,08NF001, 08NF001,50.887032,-116.046097,2000,-3.8,4.5,17.6,6,-13,-5.2,4,-4.1,-8.4,-0.3,10.8,1,281,251,339,397,776,284,1,218,0,65,536,87,2374,1691,665,1550,0,0,3,0,1,18,80,22,263,128,11,153,0,74,300,76,0,0,21,0,62,64,57,64
1965,08NF001, 08NF001,50.887032,-116.046097,2000,-6.3,5.7,18.6,5.7,-15.9,-6.2,5,-4.2,-11.1,-0.2,11.8,0.8,429,156,512,393,1017,291,1,204,0,68,633,73,2619,1681,570,1567,0,0,7,1,0,18,83,20,417,66,15,177,0,124,309,71,0,10,27,0,59,57,58,64
1966,08NF001, 08NF001,50.887032,-116.046097,2000,-5.1,7.4,16.9,7.3,-14.9,-3.9,4.1,-3.2,-10,1.8,10.5,2.1,375,267,390,440,923,168,1,222,0,100,507,182,2518,1495,695,1451,0,0,3,4,0,22,81,30,364,99,14,245,0,129,286,88,0,0,0,18,59,60,60,63
1967,08NF001, 08NF001,50.887032,-116.046097,2000,-2.8,4.2,20.6,8.7,-11.6,-6.1,4.3,-2.7,-7.2,-1,12.5,3,356,291,197,258,688,312,0,195,0,52,691,222,2263,1746,513,1368,0,0,12,5,1,14,82,33,319,183,4,87,0,73,343,95,0,0,160,17,63,61,51,61
1968,08NF001, 08NF001,50.887032,-116.046097,2000,-3.7,6.3,17.1,6.3,-14.1,-4,4.1,-3.7,-8.9,1.1,10.6,1.3,280,294,353,298,842,162,1,213,0,62,521,112,2428,1551,683,1519,0,0,4,1,1,17,81,27,269,171,14,100,0,76,291,75,0,0,16,0,57,63,59,64
1969,08NF001, 08NF001,50.887032,-116.046097,2000,-9.5,8.1,18.5,6.9,-20.5,-3.4,4.3,-3.1,-15,2.3,11.4,1.9,416,278,465,231,1361,160,0,171,0,128,588,121,2973,1444,611,1471,0,1,6,1,0,27,83,26,414,83,8,84,0,135,310,77,0,0,62,0,52,59,56,64
1970,08NF001, 08NF001,50.887032,-116.046097,2000,-4.2,5.4,20.4,4.7,-14.2,-5.4,5.6,-5.6,-9.2,0,13,-0.4,231,140,328,322,865,265,0,267,0,72,739,62,2449,1658,463,1677,0,0,12,0,1,17,87,16,221,89,3,185,0,81,333,71,0,29,93,0,58,60,55,62
1971,08NF001, 08NF001,50.887032,-116.046097,2000,-6,6.4,19.4,5.3,-15.4,-5,5.1,-4.7,-10.7,0.7,12.2,0.3,418,207,301,304,987,245,1,229,0,96,675,69,2580,1594,539,1614,0,0,14,0,0,20,85,18,408,122,10,151,0,131,319,48,0,12,113,0,60,59,57,64
1972,08NF001, 08NF001,50.887032,-116.046097,2000,-8.9,6.8,17.7,4.8,-19,-4.2,4.6,-5.2,-13.9,1.3,11.1,-0.2,639,205,375,350,1264,176,1,233,0,88,568,50,2877,1538,633,1657,0,0,5,0,0,19,84,14,634,134,11,146,0,83,295,67,0,27,64,0,56,61,59,63
1973,08NF001, 08NF001,50.887032,-116.046097,2000,-5.4,6.9,18.3,4.8,-16.4,-4,4,-4.5,-10.9,1.4,11.1,0.1,310,328,271,349,1006,171,1,305,0,79,572,120,2602,1527,632,1625,0,0,5,3,0,20,81,27,304,144,8,218,0,125,310,76,0,0,60,0,54,61,56,66
1974,08NF001, 08NF001,50.887032,-116.046097,2000,-4.1,5.3,18.4,8.4,-13.2,-4.6,4.3,-3.4,-8.6,0.4,11.3,2.5,408,292,234,238,818,218,0,170,0,52,583,137,2396,1626,615,1414,0,0,5,3,1,18,83,25,386,163,7,106,0,112,312,89,0,0,122,0,62,63,56,59
1975,08NF001, 08NF001,50.887032,-116.046097,2000,-6.2,4.7,16.9,6.7,-15.9,-6.2,4.5,-4.1,-11.1,-0.8,10.7,1.3,397,112,431,284,1007,301,1,233,0,55,529,134,2601,1727,678,1521,0,0,6,2,1,14,79,24,381,75,18,144,0,76,286,84,0,31,0,11,58,59,61,62
1976,08NF001, 08NF001,50.887032,-116.046097,2000,-4.1,6.1,16.1,7.7,-13,-4.7,4.3,-3.2,-8.5,0.7,10.2,2.2,435,260,439,207,792,254,1,200,0,91,493,164,2385,1595,718,1440,1,1,3,4,1,23,79,29,411,103,23,58,0,128,273,85,0,1,0,0,62,61,62,61
1977,08NF001, 08NF001,50.887032,-116.046097,2000,-2.8,6.5,17.9,5.3,-11.8,-4.1,4.2,-4.9,-7.3,1.2,11.1,0.2,181,292,383,294,707,195,0,256,0,75,557,84,2275,1549,641,1620,0,0,4,1,2,22,83,21,156,128,11,171,0,124,302,73,0,34,36,0,62,62,57,63
1978,08NF001, 08NF001,50.887032,-116.046097,2000,-6.5,6.2,18,5.5,-16.5,-3.6,4.8,-4.5,-11.5,1.3,11.4,0.5,312,300,383,331,1059,154,0,287,0,59,587,117,2656,1539,608,1595,0,0,6,1,0,21,84,30,308,159,10,140,0,111,301,73,0,0,6,0,57,65,59,63
1979,08NF001, 08NF001,50.887032,-116.046097,2000,-8.8,6.2,19.4,7.3,-19.5,-4.6,4.9,-3.7,-14.1,0.8,12.2,1.8,271,202,194,148,1290,188,0,240,0,72,666,173,2895,1584,535,1476,0,0,9,2,0,16,84,32,268,104,4,33,0,118,324,87,0,0,130,0,54,61,55,61
1980,08NF001, 08NF001,50.887032,-116.046097,2000,-5,7.3,16.5,7.2,-14.4,-3.5,4,-2.4,-9.7,1.9,10.2,2.4,425,403,438,372,913,213,1,161,0,133,484,120,2493,1483,718,1424,0,0,2,0,1,29,80,31,383,135,19,140,0,137,282,76,0,2,28,0,60,62,60,66
1981,08NF001, 08NF001,50.887032,-116.046097,2000,-3.4,7.1,17.5,8,-11.7,-3.1,4.4,-2.7,-7.5,2,11,2.6,379,352,530,241,713,132,1,140,0,79,563,137,2291,1473,649,1400,0,0,8,3,2,25,80,28,353,120,27,73,0,115,292,83,0,0,45,0,65,63,59,63
1982,08NF001, 08NF001,50.887032,-116.046097,2000,-6.7,5,17.6,5.3,-16.7,-6,4.7,-4.5,-11.7,-0.5,11.2,0.4,427,252,389,315,1065,269,0,279,0,47,564,112,2669,1703,633,1605,0,0,5,1,0,12,84,27,420,174,9,123,0,74,296,75,0,0,0,0,57,59,59,64
1983,08NF001, 08NF001,50.887032,-116.046097,2000,-2.8,6.8,17.6,5.7,-11.8,-3.7,4.7,-3.9,-7.3,1.6,11.2,0.9,286,203,475,227,703,167,1,190,0,96,573,73,2277,1514,630,1556,0,0,5,0,2,20,84,19,253,125,16,106,0,128,293,73,0,36,8,0,62,63,60,65
1984,08NF001, 08NF001,50.887032,-116.046097,2000,-5.3,5.6,18.4,4.2,-15.2,-3.8,4.3,-5.8,-10.2,0.9,11.3,-0.8,225,263,399,356,965,160,1,282,0,51,592,54,2547,1576,612,1710,0,0,5,0,1,18,82,14,204,143,12,218,0,105,310,46,0,0,54,0,58,65,56,63
